emp_id,name,gender,age,department,sub_function,band,location,date_of_joining,tenure_years,monthly_ctc,band_midpoint,comp_ratio,last_promotion_years,commute_km,engagement_score,performance_rating,work_mode,attrition_flag,attrition_month,attrition_reason,manager_id
EMP-00001,Vihaan Singh,F,26,Manufacturing,Quality,M3,Bengaluru,2023-11-27,2.1,92255,85000,1.085,2.1,33,2.7,2,Hybrid,1,2025-02-23,low performance rating,EMP-00563
EMP-00002,Meera Naidu,M,22,Sales,Sales Ops,M2,Hyderabad,2004-01-07,22.0,58642,55000,1.066,0.1,7,3.8,2,On-site,0,,,EMP-02899
EMP-00003,Vikram Gupta,F,45,HR,Payroll,M4,Chennai,2018-02-09,7.9,135757,140000,0.97,0.9,37,3.1,3,On-site,0,,,EMP-02570
EMP-00004,Farhan Sharma,M,53,Finance,Controllership,M3,Ludhiana,2025-10-20,0.2,92695,85000,1.091,0.2,1,3.4,4,On-site,0,,,EMP-01494
EMP-00005,Vikram Khan,F,30,Finance,FP&A,M1,Nagpur,2024-05-27,1.6,26668,35000,0.762,0.2,19,3.3,3,On-site,1,2025-11-07,below-band pay,EMP-00867
EMP-00006,Aarohi Mishra,M,23,Supply Chain,Warehouse,M6,Cuttack,2017-04-23,8.7,389908,380000,1.026,0.1,17,4.5,4,On-site,0,,,
EMP-00007,Vivaan Shah,M,21,Manufacturing,Quality,M3,Ahmedabad,2022-08-09,3.4,78706,85000,0.926,0.6,4,4.6,3,On-site,0,,,EMP-02347
EMP-00008,Simran Pillai,M,32,Customer Service,Consumer Care,M4,Jaipur,2020-11-27,5.1,204115,140000,1.458,5.1,1,2.8,4,Hybrid,0,,,EMP-01619
EMP-00009,Reyansh Patel,M,31,Manufacturing,Quality,M1,Kolkata,2025-01-01,1.0,35873,35000,1.025,1.0,1,1.8,4,On-site,1,2025-06-16,low engagement,EMP-03928
EMP-00010,Simran Khan,M,29,R&D,Packaging Dev,M2,Chennai,2025-08-08,0.4,49752,55000,0.905,0.4,25,2.8,3,On-site,0,,,EMP-00837
EMP-00011,Ishaan Mehta,F,36,IT,Applications,M2,Chennai,2024-10-20,1.2,42871,55000,0.779,1.2,36,2.6,3,Hybrid,1,2025-09-26,below-band pay,EMP-01324
EMP-00012,Manish Bose,F,37,Sales,Key Accounts,M5,Pune,2013-04-24,12.7,278039,230000,1.209,0.7,11,4.1,4,On-site,0,,,EMP-03161
EMP-00013,Kavya Gupta,M,37,Sales,Key Accounts,M3,Nagpur,2022-09-15,3.3,80240,85000,0.944,2.9,6,4.2,3,On-site,0,,,EMP-01023
EMP-00014,Imran Rao,M,31,Manufacturing,Maintenance,M4,Hyderabad,2023-10-21,2.2,122274,140000,0.873,1.5,1,2.5,2,Hybrid,1,2025-11-11,low engagement,EMP-01986
EMP-00015,Rohan Kaur,M,25,Finance,Controllership,M2,Indore,2022-01-02,4.0,57959,55000,1.054,0.7,9,2.7,3,On-site,0,,,EMP-03036
EMP-00016,Karan Reddy,F,39,Finance,Controllership,M1,Guwahati,2021-07-04,4.5,38638,35000,1.104,2.1,42,2.1,3,On-site,1,2025-03-20,low engagement,EMP-01663
EMP-00017,Anika Naidu,M,34,Customer Service,Consumer Care,M2,Pune,2021-05-29,4.6,60579,55000,1.101,3.8,28,3.5,4,Hybrid,0,,,EMP-02190
EMP-00018,Deepak Mishra,M,41,R&D,Product Dev,M1,Rudrapur,2024-05-27,1.6,35111,35000,1.003,1.6,11,3.4,3,On-site,0,,,EMP-02852
EMP-00019,Simran Banerjee,M,40,Sales,Field Sales,M4,Ahmedabad,2006-04-26,19.7,143566,140000,1.025,1.1,1,4.1,3,Hybrid,0,,,EMP-03396
EMP-00020,Aditya Sharma,F,23,Customer Service,Consumer Care,M3,Kanpur,2025-01-01,1.0,88156,85000,1.037,0.3,13,3.8,4,Hybrid,0,,,EMP-00181
EMP-00021,Meera Kapoor,M,23,Finance,Controllership,M3,Jaipur,2017-09-16,8.3,89575,85000,1.054,2.3,1,3.9,4,On-site,0,,,EMP-02003
EMP-00022,Sunita Mehta,M,28,Customer Service,Consumer Care,M2,Hyderabad,2023-10-21,2.2,58739,55000,1.068,0.9,30,2.0,3,Remote,0,,,EMP-02143
EMP-00023,Ananya Sharma,M,26,IT,Infrastructure,M6,Ahmedabad,2022-07-04,3.5,446543,380000,1.175,1.1,25,2.8,3,On-site,0,,,
EMP-00024,Vihaan Mishra,F,40,Finance,Controllership,M4,Indore,2022-02-08,3.9,141264,140000,1.009,1.2,24,4.3,2,On-site,0,,,EMP-03171
